protein,cancer_types,pmids,dois
DNA-Binding Proteins,breast cancer; carcinoma; colorectal cancer; leukemia; lung cancer; sarcoma,40889797; 40890601; 40898185; 40906433,10.1002/2056-4538.70044; 10.1136/jitc-2025-011526; 10.1186/s11658-025-00788-6; 10.1186/s12885-025-14810-9
Proto-Oncogene Proteins p21(ras),carcinoma; colorectal cancer; lung cancer; ovarian cancer; pancreatic cancer,40890128; 40898094; 40901924; 40905865; 40913040; 40916818,10.1038/s41467-025-62350-4; 10.1038/s41598-025-17650-6; 10.1126/scitranslmed.adt5511; 10.11817/j.issn.1672-7347.2025.250026; 10.1186/s12885-025-14336-0; 10.4103/jcrt.jcrt_1869_23
"Adaptor Proteins, Signal Transducing",carcinoma; leukemia; liver cancer; lung cancer; lymphoma,40903842; 40910271; 40911671,10.1111/jcmm.70815; 10.1126/sciadv.adt6083; 10.3892/or.2025.8982
Programmed Cell Death 1 Receptor,breast cancer; colorectal cancer; leukemia; melanoma; ovarian cancer,40890106; 40890836; 40895577; 40905865; 40906211; 40906805,10.1007/s00262-025-04145-6; 10.1038/s41467-025-62878-5; 10.1073/pnas.2426935122; 10.1186/s13046-025-03518-0; 10.3389/fimmu.2025.1656242; 10.4103/jcrt.jcrt_1869_23
Protein Kinase Inhibitors,carcinoma; colorectal cancer; leukemia; pancreatic cancer; sarcoma,40893054; 40897431; 40901864; 40906805,10.1073/pnas.2426935122; 10.1136/bmj-2024-082834; 10.1200/PO-25-00332; 10.1371/journal.pone.0331438
Enzyme Inhibitors,bladder cancer; breast cancer; carcinoma; gastric cancer; lung cancer,40891362,10.1080/14756366.2025.2545620
the key enzyme pycr1 in proline metabolism:,bladder cancer; breast cancer; carcinoma; gastric cancer; lung cancer,40891362,10.1080/14756366.2025.2545620
Transcription Factors,breast cancer; carcinoma; colorectal cancer; lung cancer,40890601; 40897711; 40898185; 40901953; 40903842; 40911331,10.1002/ddr.70151; 10.1038/s41467-025-63687-6; 10.1111/jcmm.70815; 10.1126/sciadv.ady1289; 10.1186/s11658-025-00788-6; 10.1186/s12885-025-14810-9
"alterations and environmental factors. in recent years, long non-c",carcinoma; colorectal cancer; gastric cancer; pancreatic cancer,40909946,10.3389/fonc.2025.1642425
"eracting with genes, rna, and proteins to promoting the warburg eff",carcinoma; colorectal cancer; gastric cancer; pancreatic cancer,40909946,10.3389/fonc.2025.1642425
MAP Kinase Signaling System,breast cancer; leukemia; melanoma; sarcoma,40892895; 40898325; 40906433,10.1002/2056-4538.70044; 10.1126/scisignal.adw3231; 10.1186/s12964-025-02376-9
Proto-Oncogene Proteins,carcinoma; leukemia; lung cancer; sarcoma,40895524; 40906433,10.1002/2056-4538.70044; 10.3389/fimmu.2025.1604237
"Antigens, Neoplasm",breast cancer; carcinoma; gastric cancer; melanoma,40890425; 40891421; 40898321; 40903191,10.1038/s41598-025-17987-y; 10.1080/2162402X.2025.2526444; 10.1136/jitc-2025-012442; 10.1186/s12951-025-03681-8
STAT3 Transcription Factor,carcinoma; leukemia; lung cancer; lymphoma,40895526; 40901755,10.1002/jbt.70486; 10.3389/fimmu.2025.1632803
"Hypoxia-Inducible Factor 1, alpha Subunit",carcinoma; lung cancer; ovarian cancer; prostate cancer,40890129; 40901248; 40901472,10.1038/s41419-025-07886-5; 10.2147/IJN.S531571; 10.3389/fimmu.2025.1467357
Membrane Proteins,carcinoma; lung cancer; melanoma; skin cancer,40892691; 40897749,10.1038/s41597-025-05807-x; 10.1096/fj.202501354R
"properties. l-mimosine, a non-protein amino acid derived from the s",breast cancer; lung cancer; melanoma; sarcoma,40890736,10.1186/s12906-025-04905-y
transcriptomics and t/b cell receptor analyses  reveal early on-tre,breast cancer; carcinoma; lung cancer; melanoma,40890155,10.1038/s41467-025-63538-4
"analyze cd63, a cell surface protein that has been associated with",lung cancer; melanoma; prostate cancer,40916710,10.14670/HH-18-981
B7-H1 Antigen,breast cancer; carcinoma; lung cancer,40895529; 40898094; 40898159; 40903297; 40908570; 40916533,10.1002/cam4.71191; 10.1186/s12885-025-14336-0; 10.1186/s12885-025-14779-5; 10.12122/j.issn.1673-4254.2025.08.16; 10.1272/jnms.JNMS.2025_92-405; 10.3389/fimmu.2025.1641254
known. ferroptosis suppressor protein (fsp1) is a glutathione-indep,carcinoma; colorectal cancer; renal cell carcinoma,40914768,10.1038/s41388-025-03562-2
Proto-Oncogene Proteins c-bcl-2,carcinoma; melanoma; ovarian cancer,40898663; 40913040,10.1038/s41598-025-17650-6; 10.1111/exd.70164
Adenomatous Polyposis Coli Protein,carcinoma; colorectal cancer; gastric cancer,40911118,10.1007/s10689-025-00491-7
cin family characterized by a protein backbone with extensive glyco,colorectal cancer; gastric cancer; prostate cancer,40910251,10.3892/ijmm.2025.5629
Ki-67 Antigen,breast cancer; carcinoma; prostate cancer,40898298; 40898467; 40900461; 40908518,10.1002/mp.17960; 10.1097/MD.0000000000044222; 10.1186/s13058-025-02114-6; 10.1590/1414-431X2025e14527
"Receptor, ErbB-2",breast cancer; carcinoma; gastric cancer,40891579; 40891595; 40898467; 40898491; 40905870; 40908488,10.1002/cam4.71156; 10.1002/cam4.71172; 10.1097/MD.0000000000044094; 10.1097/MD.0000000000044222; 10.1186/s12957-025-03962-4; 10.4103/jcrt.jcrt_210_25
Neoplasm Proteins,gastric cancer; melanoma; prostate cancer,40890425; 40908300,10.1038/s41392-025-02376-8; 10.1038/s41598-025-17987-y
"we detailed the intracellular protein, dual specificity phosphatase",carcinoma; lung cancer; skin cancer,40906817,10.1158/2326-6066.CIR-25-0086
"ed by the pattern recognition receptor, retinoic acid inducible gene",carcinoma; lung cancer; skin cancer,40906817,10.1158/2326-6066.CIR-25-0086
"cal tn-ilc features (estrogen receptor negative, progesterone recept",breast cancer; carcinoma; gastric cancer,40904600,10.3892/ol.2025.15242
"s, including for gata binding protein 3, villin and cytokeratin 7/2",breast cancer; carcinoma; gastric cancer,40904600,10.3892/ol.2025.15242
BRCA1 Protein,breast cancer; carcinoma; ovarian cancer,40890782; 40891252; 40900191; 40904409,10.1002/cnr2.70335; 10.1007/s10689-025-00496-2; 10.1155/genr/5544418; 10.1186/s13063-025-09062-8
cadherin fat1 functions as an oncogene or tumor suppressor in a cont,carcinoma; glioblastoma; pancreatic cancer,40903775,10.1186/s11658-025-00783-x
1 functions as an oncogene or tumor suppressor in a context-dependent manner,carcinoma; glioblastoma; pancreatic cancer,40903775,10.1186/s11658-025-00783-x
"Receptors, Chimeric Antigen",breast cancer; leukemia; lymphoma,40898409; 40903191,10.1080/16078454.2025.2550815; 10.1136/jitc-2025-012442
Heat-Shock Proteins,breast cancer; carcinoma; colorectal cancer,40895562; 40901953,10.1126/sciadv.ady1289; 10.3389/fimmu.2025.1631031
Vascular Endothelial Growth Factor A,carcinoma; colorectal cancer; lung cancer,40895562; 40901248,10.2147/IJN.S531571; 10.3389/fimmu.2025.1631031
"fα), monocyte chemoattractant protein-1 (mcp-1), and insulin were m",colorectal cancer; liver cancer; lung cancer,40900641,10.1158/1055-9965.EPI-25-0342
"beta (il-1β), tumor necrosis factor-alpha (tnfα), monocyte chemoa",colorectal cancer; liver cancer; lung cancer,40900641,10.1158/1055-9965.EPI-25-0342
"Antigens, CD",breast cancer; melanoma; ovarian cancer,40892920; 40895577,10.1073/pnas.2503081122; 10.3389/fimmu.2025.1656242
tors of the mitogen-activated protein kinase pathway demonstrate el,carcinoma; pancreatic cancer; sarcoma,40893054,10.1200/PO-25-00332
al of extracellular regulated kinase inhibition alone and in combi,carcinoma; pancreatic cancer; sarcoma,40893054,10.1200/PO-25-00332
Extracellular Signal-Regulated MAP Kinases,carcinoma; pancreatic cancer; sarcoma,40893054,10.1200/PO-25-00332
wide. serum prostate-specific antigen is a frequently employed biom,carcinoma; prostate cancer,40916883,10.4132/jptm.2025.06.06
"ed to evaluate the junb proto-oncogene, a subunit of the ap-1 transc",carcinoma; prostate cancer,40916883,10.4132/jptm.2025.06.06
